1,300,30,0,400,0,4
1,400,30,0,800,0,10
1,500,30,0,8000,0,10
1,600,1200,0,400,0,15
1,700,1200,0,800,0,5
1,1000,600,0,300,0,20
1,2300,2000,0,1000,0,12
1,1500,300,0,1200,0,7
1,2000,200,0,2400,0,8
1,1500,700,0,3000,0,9
1,3000,300,0,5000,0,10
1,2000,450,0,4000,0,2
1,3400,2000,0,1100,0,6
1,2800,2090,0,2000,0,7
1,12000,1080,0,1000,0,3
1,10000,1230,0,1300,0,2
1,1234,1444,0,2219,0,5
1,500,1467,0,3093,0,3
1,9258,3479,0,6941,0,7
1,1189,2533,0,6493,0,8
1,6013,6087,0,1417,0,9
1,969,1207,0,5357,0,10
1,1770,7663,0,824,0,1
1,993,7342,0,1869,0,4
1,757,7907,0,4328,0,6
1,5161,7200,0,1518,0,8
1,6110,7439,0,9881,0,9
1,6366,5832,0,6933,0,10
1,9262,2952,0,4210,0,11
1,5991,7674,0,2890,0,9
